rank	player	team	position	adp	min	max
128	"Bridges, Miles"	CHA	F	132.53	114	150
129	"Zubac, Ivica"	LAC	C	132.60	119	153
130	"Hayes, Killian"	DET	G	132.67	110	192
131	"Theis, Daniel"	BOS	C	134.27	109	158
132	"Edwards, Anthony"	MIN	G	135.20	78	165
133	"Kleber, Maxi"	DAL	"C, F"	135.53	113	160
134	"Noel, Nerlens"	NY	"C, F"	135.80	114	173
135	"Curry, Seth"	PHI	G	137.87	105	185
136	"Kennard, Luke"	LAC	G	138.13	108	174
137	"Garland, Darius"	CLE	G	139.13	124	152
138	"Payton, Elfrid"	NY	G	140.20	111	213
139	"Morris, Marcus"	LAC	F	142.33	107	171
140	"Favors, Derrick"	UTH	"C, F"	143.47	129	161
141	"Ross, Terrence"	ORL	G	143.60	123	171
142	"Thompson, Tristan"	BOS	"C, F"	143.67	98	181
143	"Harris, Joe"	BKN	F	143.80	128	166
144	"Bazley, Darius"	OKC	F	144.73	107	195
145	"DiVincenzo, Donte"	MIL	G	144.80	120	173
146	"Baynes, Aron"	TOR	"C, F"	146.67	117	207
147	"Clarkson, Jordan"	UTH	G	147.07	121	174
148	"Nunn, Kendrick"	MIA	G	148.20	128	169
149	"Ingles, Joe"	UTH	F	149.47	126	168
150	"Reddish, Cam"	ATL	F	149.53	107	188
151	"Haliburton, Tyrese"	SAC	G	152.13	123	193
152	"Huerter, Kevin"	ATL	G	152.13	112	180
153	"Brooks, Dillon"	MEM	G	153.07	130	171
154	"Wright, Delon"	DET	G	155.67	119	246
155	"Barnes, Harrison"	SAC	F	156.40	122	178
156	"Poeltl, Jakob"	SA	C	156.40	141	190
157	"Johnson, Cameron"	PHO	F	157.20	143	168
158	"Bjelica, Nemanja"	SAC	F	157.53	110	200
159	"Hardaway, Tim"	DAL	G	159.33	140	180
160	"Porter, Kevin"	CLE	F	160.73	131	201
161	"Teague, Jeff"	BOS	G	164.40	133	195
162	"Beasley, Malik"	MIN	G	164.60	143	198
163	"Okongwu, Onyeka"	ATL	"F, C"	164.80	99	252
164	"Crowder, Jae"	PHO	F	166.00	126	201
165	"Harris, Gary"	DEN	G	166.20	137	198
166	"Kuzma, Kyle"	LAL	F	170.80	134	195
167	"Millsap, Paul"	DEN	F	172.73	145	210
168	"Zeller, Cody"	CHA	"C, F"	173.67	146	199
169	"Plumlee, Mason"	DET	C	173.87	141	196
170	"Chriss, Marquese"	GS	F	177.00	155	201
171	"Saric, Dario"	PHO	F	177.07	153	228
172	"Redick, JJ"	NO	G	177.47	160	195
173	"Williams, Robert"	BOS	C	179.00	134	238
174	"Gasol, Marc"	LAL	C	179.60	137	223
175	"Hernangomez, Juancho"	MIN	F	179.80	142	258
176	"Satoransky, Tomas"	CHI	G	179.87	159	212
177	"Powell, Dwight"	DAL	"C, F"	180.47	162	237
178	"Winslow, Justise"	MEM	F	183.33	133	219
179	"Trent, Gary"	POR	G	184.00	123	214
180	"Melton, De'Anthony"	MEM	G	186.87	154	215
181	"Brown, Troy"	WAS	G	187.00	163	240
182	"Hunter, De'Andre"	ATL	F	187.20	146	256
183	"Avdija, Deni"	WAS	F	188.93	118	229
184	"Gordon, Eric"	HOU	G	189.80	154	247
185	"Portis, Bobby"	MIL	"C, F"	190.47	162	216
186	"Bamba, Mo"	ORL	C	190.53	146	246
187	"House, Danuel"	HOU	F	190.73	152	234
188	"Burks, Alec"	NY	G	191.27	131	228
189	"Paschall, Eric"	GS	F	191.33	167	212
190	"Finney-Smith, Dorian"	DAL	F	191.80	164	215
191	"Anthony, Carmelo"	POR	F	193.53	143	225
192	"Green, Danny"	PHI	G	195.93	171	228
