player	injury	position	team	games	fga	fg	threepm	fgp	fta	ftm	ftp	ppg	apg	rbpg	spg	bpg	mpg
"Prince, Taurean"		F	BKN	64	739	278	146	37.6	89	71	79.8	12.1	1.8	6	0.9	0.4	29.05
"Pritchard, Payton"		G	BOS														
"Quickley, Immanuel"		G	NY														
"Ramsey, Jahmi'us"		G	SAC														
"Randle, Chasson"		G	OKC	3	4	0	0	0	6	5	83.3	1.7	1.7	0.7	0.7	0	13.67
"Randle, Julius"		F	NY	64	1006	463	64	46	352	258	73.3	19.5	3.1	9.7	0.8	0.3	32.53
"Reaves, Josh"		G	DAL	2	1	0	0	0	0	0	0	0	0	0	0	0	0.5
"Reddish, Cam"		F	ATL	58	554	213	83	38.4	126	101	80.2	10.5	1.5	3.7	1.1	0.5	26.71
"Redick, JJ"		G	NO	54	558	251	156	45	163	147	90.2	14.9	2	2.6	0.4	0.2	26.37
"Reed, Paul"		F	PHI														
"Reid, Naz"		C	MIN	30	243	100	32	41.2	53	37	69.8	9	1.2	4.1	0.6	0.7	16.53
"Reynolds, Cameron"		G	SA														
"Richards, Nick"		C	CHA														
"Richardson, Josh"		G	DAL	48	574	246	70	42.9	128	101	78.9	13.8	3.1	3.4	0.9	0.7	30.75
"Riller, Grant"		G	CHA														
"Rivers, Austin"		G	NY	60	432	182	83	42.1	90	60	66.7	8.5	1.6	2.4	0.7	0.2	23.37
"Roberson, Andre"		G	OKC														
"Robinson, Duncan"		F	MIA	65	613	286	243	46.7	53	48	90.6	13.3	1.4	3.3	0.5	0.2	29.94
"Robinson, Glenn"		F	SAC	60	578	281	74	48.6	83	72	86.7	11.8	1.6	4.3	0.9	0.3	29.03
"Robinson, Jerome"		G	WAS	55	216	75	31	34.7	29	20	69	3.7	1.2	1.9	0.4	0.3	13.6
"Robinson, Justin"		G	PHI	9	12	5	3	41.7	0	0	0	1.4	0.8	0.6	0	0.1	5.44
"Robinson, Mitchell"		C	NY	61	341	253	0	74.2	148	84	56.8	9.7	0.6	7	0.9	2	23.1
"Roby, Isaiah"		F	OKC	3	1	0	0	0	0	0	0	0	0	0.7	0	0	3.67
"Rondo, Rajon"		G	ATL	48	328	137	41	41.8	41	27	65.9	7.1	5	3	0.8	0	20.5
"Rose, Derrick"		G	DET	50	753	369	45	49	139	121	87.1	18.1	5.6	2.4	0.8	0.3	25.98
"Ross, Terrence"		G	ORL	63	777	316	162	40.7	161	136	84.5	14.8	1.2	3.2	1.1	0.3	27.35
"Rozier, Terry"		G	CHA	63	941	398	172	42.3	190	166	87.4	18	4.1	4.4	1	0.2	34.35
"Rubio, Ricky"		G	MIN	57	611	252	66	41.2	204	174	85.3	13.1	8.9	4.6	1.5	0.2	31.67
"Russell, D'Angelo"		G	MIN	45	846	360	158	42.6	199	161	80.9	23.1	6.3	3.9	1	0.3	32.22
"Sabonis, Domantas"		C	IND	62	848	458	17	54	296	214	72.3	18.5	5	12.4	0.8	0.5	34.84
"Samanic, Luka"		F	SA	1	4	0	0	0	0	0	0	0	3	2	0	0	12
"Sampson, JaKarr"		F	IND	26	81	48	2	59.3	20	11	55	4.2	0.3	2.3	0.3	0.3	13.08
"Saric, Dario"		F	PHO	58	470	217	73	46.2	95	79	83.2	10.1	1.9	5.9	0.6	0.3	24.88
"Satoransky, Tomas"		G	CHI	65	551	237	64	43	121	106	87.6	9.9	5.4	3.9	1.2	0.1	28.91
"Schofield, Admiral"		F	OKC	27	75	30	14	40	13	9	69.2	3.1	0.5	1.3	0.3	0.1	10.89
"Schroder, Dennis"		G	LAL	63	945	442	122	46.8	230	193	83.9	19	4.1	3.7	0.7	0.2	30.94
"Scott, Mike"		F	PHI	63	319	130	73	40.8	30	25	83.3	5.7	0.8	3.6	0.3	0.1	17.7
"Scrubb, Jay"		G	LAC														
"Sefolosha, Thabo"		F	HOU	41	91	37	15	40.7	8	3	37.5	2.2	0.6	2.3	0.6	0.3	10.51
"Sexton, Collin"		G	CLE	65	1086	513	97	47.2	267	226	84.6	20.8	3	3.1	1	0.1	32.89
"Shamet, Landry"		G	BKN	47	351	146	105	41.6	63	57	90.5	9.7	1.9	1.9	0.4	0.2	27.47
"Shayok, Marial"		G	PHI	2	5	1	1	20	0	0	0	1.5	0.5	1.5	0	0	5
"Shumpert, Iman"		G	BKN	13	64	21	8	32.8	7	4	57.1	4.2	0.9	2.6	0.9	0.2	18.62
"Siakam, Pascal"		F	TOR	53	1000	459	115	45.9	275	220	80	23.6	3.6	7.5	1	0.9	35.53
"Silva, Chris"		F	MIA	41	69	43	0	62.3	49	34	69.4	2.9	0.5	2.7	0.2	0.4	7.41
"Simmons, Ben"		G	PHI	54	617	361	2	58.5	284	178	62.7	16.7	8.2	7.8	2.1	0.6	35.76
